Crosslinking Density (mol/m³),Oxidation Potential (V)
2,-1.7154053276319274,0.22% Zirconium dioxide
3,-1.9127504194719167,0.22% Zirconium dioxide
4,-1.9531117325470493,0.22% Zirconium dioxide
8,-2.186763470649385,0.22% Zirconium dioxide
17,-2.2793072714346883,0.22% Zirconium dioxide
18,-2.281003117247687,0.22% Zirconium dioxide
2,0.6585840442117328,0.32% Zirconium dioxide
3,0.916488750667841,0.32% Zirconium dioxide
4,1.4509499302690427,0.32% Zirconium dioxide
8,15.168914487483258,0.32% Zirconium dioxide
17,-6.728844779921092,0.32% Zirconium dioxide
18,611.4758458426426,0.32% Zirconium dioxide
2,-1.0718016355782776,0.77% Zirconium dioxide
3,-1.361556827267795,0.77% Zirconium dioxide
4,-0.6103887614165096,0.77% Zirconium dioxide
8,-0.965232624508108,0.77% Zirconium dioxide
17,15.188987060203026,0.77% Zirconium dioxide
18,-4.104630293043442,0.77% Zirconium dioxide
