Storage Time (days),Magnetoresistance
7,-4.939449197858038,EPDM rubber
9,-5.036361877488571,EPDM rubber
11,-5.075060713055966,EPDM rubber
13,-5.149469059932764,EPDM rubber
18,-5.244088297317601,EPDM rubber
3.5836475778999044,-3.816159192143058,PAMS
3.7450663266562856,-4.117516752538016,PAMS
10.134908359521367,6.594176866399783,PAMS
10.162340024609248,22.503882063684998,PAMS
19.90480651837274,556.5040272750388,PAMS
1,-3.8279279435684392,SBR
2,-3.265771721070338,SBR
7,-1.6572004982362905,SBR
11,-0.888039621416751,SBR
19,-13.882523227504258,SBR
