Surfactant Concentration (M),Elongation At Break (%)
0,-4.882334267916775,
2,-5.198672232117439,
3,-5.398414676534929,
4,-5.396976591033791,
11,-5.603853066164556,
18,-5.810369511097875,
0,4.2077003634910595,
2,4.165160525197881,
3,4.407972899114681,
4,4.598828823581513,
11,6.3760856729048,
18,13.273223087432447,
0,-2.884332109964029,
2,-3.047043656627066,
3,-3.0951366031064413,
4,-3.225647642300512,
11,-3.499181877262785,
18,-3.673195311051154,
0,3.1991529463625734,
2,4.113866430537669,
3,5.184964809787673,
4,5.589127240831044,
11,34.7074191244992,
18,812.3429688167964,
