Melting Temperature (°C),Electric Field Strength (V/m)
6,8.604678719620223,PEG
8,9.386296898909086,PEG
10,7.650498903059779,PEG
6,8.82746021866249,PEEK
8,9.706478230382437,PEEK
10,15.888076942711796,PEEK
6,-1.990155204996556,Poly(vinyl chloride)
8,-2.0290219787906416,Poly(vinyl chloride)
10,-2.163865183690026,Poly(vinyl chloride)
6,1.3479709148516843,Poly(4-vinyl pyridine)
8,0.6117129154195897,Poly(4-vinyl pyridine)
10,1.7057577088738376,Poly(4-vinyl pyridine)
6,-1.7839598638110785,DGEBF
8,-1.8277617379340358,DGEBF
10,-1.9637300766356642,DGEBF
