Ultrasound Time (min),Remanence (A/m)
5.886702594413508,-6.101530473406653,dodecylbenzene sulfonic acid/PVA
8.00110590052405,-6.5699195458335975,dodecylbenzene sulfonic acid/PVA
8.00504907496838,-4.690343044399093,dodecylbenzene sulfonic acid/PVA
9.59970129746239,-4.023114094418956,dodecylbenzene sulfonic acid/PVA
15.78045210512315,-2.409455459497835,dodecylbenzene sulfonic acid/PVA
18.331325347518195,3.93273801236227,dodecylbenzene sulfonic acid/PVA
5.886702594413508,-2.141349037104179,Carbon nanofibers/PVA
8.00110590052405,-2.904811350402251,Carbon nanofibers/PVA
8.00504907496838,-1.9601002873807527,Carbon nanofibers/PVA
9.59970129746239,-2.7703325498570104,Carbon nanofibers/PVA
15.78045210512315,-6.040745344551895,Carbon nanofibers/PVA
18.331325347518195,19.467164120671118,Carbon nanofibers/PVA
5.886702594413508,-4.312026270573895,Aluminium/PVA
8.00110590052405,-4.401956222768046,Aluminium/PVA
8.00504907496838,-4.39627789902604,Aluminium/PVA
9.59970129746239,-4.441343629117517,Aluminium/PVA
15.78045210512315,-4.485552433070298,Aluminium/PVA
18.331325347518195,-4.490437360176968,Aluminium/PVA
5.886702594413508,6.138320292029466,cellulose nanocrystal/PVA
8.00110590052405,6.0500114884458025,cellulose nanocrystal/PVA
8.00504907496838,6.121920772698273,cellulose nanocrystal/PVA
9.59970129746239,5.985113807137564,cellulose nanocrystal/PVA
15.78045210512315,5.817045920324036,cellulose nanocrystal/PVA
18.331325347518195,5.7613247709459445,cellulose nanocrystal/PVA
5.886702594413508,6.003315239694972,carbon nanofibers/PVA
8.00110590052405,5.904498415750093,carbon nanofibers/PVA
8.00504907496838,5.885432961343158,carbon nanofibers/PVA
9.59970129746239,5.867272095599,carbon nanofibers/PVA
15.78045210512315,5.8172431696455575,carbon nanofibers/PVA
18.331325347518195,5.812161051396685,carbon nanofibers/PVA
