Mixing Time (min),Tensile Strength (MPa)
0,-4.2137855139267355,0.92% Na2TiO3
1,-3.721754817701911,0.92% Na2TiO3
3,-4.001706908572888,0.92% Na2TiO3
4,-3.412455476038981,0.92% Na2TiO3
0,-0.6306139301593552,0.94% Na2TiO3
1,-0.9110162816807996,0.94% Na2TiO3
3,-1.101236562515763,0.94% Na2TiO3
4,-1.049274175233306,0.94% Na2TiO3
0,2.549463930433629,0.04% Na2TiO3
1,2.0802119807779524,0.04% Na2TiO3
3,1.8668013517762618,0.04% Na2TiO3
4,1.7796321280259333,0.04% Na2TiO3
0,4.4247900230819255,0.87% Na2TiO3
1,4.237226115712345,0.87% Na2TiO3
3,3.957013338651297,0.87% Na2TiO3
4,3.8526979709614633,0.87% Na2TiO3
0,-6.822452377978262,0.8% Na2TiO3
1,-6.939868992454224,0.8% Na2TiO3
3,-6.974651698315268,0.8% Na2TiO3
4,-7.013503210892426,0.8% Na2TiO3
