Specific Heat Capacity (J/(g·K)),Complex Modulus (Pa)
0.7056852009583925,5.150221519718655,PETP
2.885465359836066,4.832648797435773,PETP
5.033045050647862,4.646871716060217,PETP
7.480006764744996,4.554929910585748,PETP
9.956095182745212,4.485886298735875,PETP
12.603282276498515,4.459381094500082,PETP
1,8.48032443663681,Poly(caprolactone)
3,7.857761780958612,Poly(caprolactone)
5,9.17356751129542,Poly(caprolactone)
10,10.556472666775013,Poly(caprolactone)
12,12.413222417666374,Poly(caprolactone)
15,7.059944713638462,Poly(caprolactone)
1,-2.472316224018872,P(Baph)
7,-3.447728743965525,P(Baph)
10,-1.3030715964096076,P(Baph)
13,-3.0193458199838545,P(Baph)
18,3.1503083215126306,P(Baph)
19,-6.473631563560614,P(Baph)
