Electric Field (V/m),Particle Size (nm)
3,1.4727944871307117,0.97% Calcium carbonate/PAA
8,1.1672546558919379,0.97% Calcium carbonate/PAA
11,1.115689546408608,0.97% Calcium carbonate/PAA
3,5.725228531741784,0.51% Calcium carbonate/PAA
8,22.873171728684632,0.51% Calcium carbonate/PAA
11,14.779686413618762,0.51% Calcium carbonate/PAA
3,-2.3702760049974065,0.32% Calcium carbonate/PAA
8,12.369005370717943,0.32% Calcium carbonate/PAA
11,13.31455017735264,0.32% Calcium carbonate/PAA
3,7.104145338724688,0.84% Calcium carbonate/PAA
8,8.490829838915637,0.84% Calcium carbonate/PAA
11,10.363419681527738,0.84% Calcium carbonate/PAA
