Polymer Molecular Weight (g/mol),Pore Size (nm)
0.8814236075749893,-6.109459216806688,0.35% Sodium titanate nanotubes
10.590247881066151,-2.474887956632859,0.35% Sodium titanate nanotubes
17.31202319642011,-3.5327057697904047,0.35% Sodium titanate nanotubes
0.8814236075749893,3.2680009931146783,0.98% Sodium titanate nanotubes
10.590247881066151,21.410795059456284,0.98% Sodium titanate nanotubes
17.31202319642011,-18.056529835325072,0.98% Sodium titanate nanotubes
0.8814236075749893,9.12400586016554,0.42% Sodium titanate nanotubes
10.590247881066151,30.162739389667955,0.42% Sodium titanate nanotubes
17.31202319642011,70.63967246716122,0.42% Sodium titanate nanotubes
0.8814236075749893,-2.813623217639406,0.07% Sodium titanate nanotubes
10.590247881066151,13.60497917734048,0.07% Sodium titanate nanotubes
17.31202319642011,340.8074556728164,0.07% Sodium titanate nanotubes
