Dispersing Time (min),Electronic Conductivity (S/m)
3,-4.978544230148554,PPSF
6,-5.203743262061041,PPSF
12,-5.311538965126187,PPSF
13,-5.319244735917455,PPSF
14,-5.325696177230072,PPSF
3,6.284206745870815,Polyurethane
6,7.770639343199643,Polyurethane
12,9.628356576290567,Polyurethane
13,11.731391117794912,Polyurethane
14,12.05318164865743,Polyurethane
3,4.55726065972926,EPDM
6,4.273615419435653,EPDM
12,4.09684812233381,EPDM
13,4.088850710085248,EPDM
14,4.083438481991814,EPDM
3,-0.09543286302378151,PVA
6,4.629129696757774,PVA
12,38.93596305041603,PVA
13,8.244726318590315,PVA
14,98.1086016398706,PVA
