Holding Time (min),Specific Heat (J/(g·K))
6,-4.730541823066837,0.3% PbS/PTrFE
9,-4.818769606526014,0.3% PbS/PTrFE
10,-4.847685300329199,0.3% PbS/PTrFE
15,-4.883441944363532,0.3% PbS/PTrFE
6,-6.0859781456178155,0.1% PbS/PTrFE
9,-6.312729860035879,0.1% PbS/PTrFE
10,-6.420389942414878,0.1% PbS/PTrFE
15,-6.496407033843464,0.1% PbS/PTrFE
6,-1.8746704722315592,0.72% PbS/PTrFE
9,-1.9775693572559292,0.72% PbS/PTrFE
10,-2.005369359011505,0.72% PbS/PTrFE
15,-2.0444833110918856,0.72% PbS/PTrFE
6,-4.490717098705092,0.52% PbS/PTrFE
9,-4.685176763499274,0.52% PbS/PTrFE
10,-4.404617964811239,0.52% PbS/PTrFE
15,-1.8502319381554457,0.52% PbS/PTrFE
