pH,X-ray Diffraction Intensity
3,6.692327073611908,PEKK
16,6.1862581130646355,PEKK
18,6.182651505102673,PEKK
3,-3.768584804525835,PAA
16,2.237835518629881,PAA
18,13.911997115548612,PAA
3,1.0670967351417024,PnBA
16,295.85684592531226,PnBA
18,29.445023266679833,PnBA
3,8.613062076088246,Polybutylene succinate
16,3.4880855654358225,Polybutylene succinate
18,184.70332586705123,Polybutylene succinate
3,-1.3956403492416938,Nylon 6(3)T
16,-1.8749397640024326,Nylon 6(3)T
18,-1.9188380618876297,Nylon 6(3)T
