Incubation Time (h),Conductivity (S/m)
1,-4.250387073683269,0.31% nanosilica/Poly(ethyl acrylate)
3,-4.518853698392437,0.31% nanosilica/Poly(ethyl acrylate)
4,-4.519120020204694,0.31% nanosilica/Poly(ethyl acrylate)
14,-4.835224749193373,0.31% nanosilica/Poly(ethyl acrylate)
19,-4.95588975227565,0.31% nanosilica/Poly(ethyl acrylate)
1,8.843795641558657,0.8% nanosilica/Poly(ethyl acrylate)
3,8.740557437315122,0.8% nanosilica/Poly(ethyl acrylate)
4,8.511708946003981,0.8% nanosilica/Poly(ethyl acrylate)
14,8.15053246185756,0.8% nanosilica/Poly(ethyl acrylate)
19,8.068492398904347,0.8% nanosilica/Poly(ethyl acrylate)
