Thermal Conductivity (W/(m·K)),Complex Viscosity (Pa·s)
5.088322779493373,0.7849446892246803,Unsaturated polyester resin
15.192291452541156,92.48439192844033,Unsaturated polyester resin
17.025070532093526,200.42277464241818,Unsaturated polyester resin
5.088322779493373,-1.1459791674590925,Polyetherketoneketone
15.192291452541156,124.57865275480344,Polyetherketoneketone
17.025070532093526,452.360420239376,Polyetherketoneketone
5.088322779493373,-5.01645838695402,iPP
15.192291452541156,-5.429529451495515,iPP
17.025070532093526,-5.488692284556369,iPP
5.088322779493373,-3.4172331599780836,Poly(2-hydroxyethyl methacrylate)
15.192291452541156,-3.7293931778355107,Poly(2-hydroxyethyl methacrylate)
17.025070532093526,-3.757836220422083,Poly(2-hydroxyethyl methacrylate)
5.088322779493373,0.7117147631639182,PB
15.192291452541156,0.3700268008020354,PB
17.025070532093526,0.3286229043997082,PB
