Melting Temperature (°C),Reduction Potential (V)
6.160150780588989,6.066543622267217,0.4% Thermal black/PBS
12.16615717753183,-25.173146709486332,0.4% Thermal black/PBS
12.255416340783206,5.001338603194236,0.4% Thermal black/PBS
13.134497680446986,17.555227944884876,0.4% Thermal black/PBS
16.174208557331273,122.22636963800639,0.4% Thermal black/PBS
6.160150780588989,5.035179232676858,0.34% Thermal black/PBS
12.16615717753183,4.786387698712211,0.34% Thermal black/PBS
12.255416340783206,4.80103982006104,0.34% Thermal black/PBS
13.134497680446986,4.780292200186153,0.34% Thermal black/PBS
16.174208557331273,4.703967392912945,0.34% Thermal black/PBS
