Magnetic Field Strength (T),Compressive Modulus (GPa)
2.4936697965083265,0.33848247361188805,SAN24
3.0935781230119797,0.236193915489049,SAN24
18.45494482372807,-0.13630836680910757,SAN24
9.845195512164953,-2.7727459600575783,PBS
13.93188969800936,-2.9955580241129005,PBS
14.897593110312368,0.2754934590098195,PBS
5,-1.7951474556641012,Sodium polyacrylate
8,-1.923198782668373,Sodium polyacrylate
17,-2.190508380044701,Sodium polyacrylate
5,6.662122543108339,PMS
13,6.35322291070929,PMS
14,6.3865640076445,PMS
