wt%,Loss Modulus (Pa)
1.5811870166536246,6.743249234993514,Poly(propylene)
5.388883981863792,6.487251375137665,Poly(propylene)
12.520940135262498,6.089023063598651,Poly(propylene)
1.5811870166536246,-6.380109973180581,P(Baph)
5.388883981863792,-5.6075944364937715,P(Baph)
12.520940135262498,0.5341458950188533,P(Baph)
1.5811870166536246,6.055943827314722,PCTFE
5.388883981863792,5.611553057370164,PCTFE
12.520940135262498,5.4130202058642904,PCTFE
1.5811870166536246,-0.7689092909571303,PBS
5.388883981863792,0.27705989339818604,PBS
12.520940135262498,0.7227616524299871,PBS
1.5811870166536246,-5.01439166792867,PETE
5.388883981863792,-5.393027942640478,PETE
12.520940135262498,-5.553236354654007,PETE
