Dispersing Time (min),Decomposition Temperature (°C)
0,-7.026060632064057,0.82% graphite (as received)
6,-6.582680605146501,0.82% graphite (as received)
12,-3.906211151923098,0.82% graphite (as received)
14,2.5858715334518685,0.82% graphite (as received)
17,-3.8569816087557607,0.82% graphite (as received)
0,-1.516622206776268,0.15% graphite (as received)
6,1.1724880991795277,0.15% graphite (as received)
12,72.42046982184054,0.15% graphite (as received)
14,55.11217940655746,0.15% graphite (as received)
17,110.91439403233352,0.15% graphite (as received)
0,-4.964998380984258,0.87% graphite (as received)
6,-6.123654030195331,0.87% graphite (as received)
12,-6.280903130863195,0.87% graphite (as received)
14,-6.295355030538472,0.87% graphite (as received)
17,-6.304420067999002,0.87% graphite (as received)
