Mechanical Strength (MPa),Dynamic Viscosity (Pa·s)
1,8.001873899872983,0.47% Cu(HO3PC6H5)2
6,10.962491302268358,0.47% Cu(HO3PC6H5)2
7,17.195788549725556,0.47% Cu(HO3PC6H5)2
1,5.6802651952432965,0.23% Cu(HO3PC6H5)2
6,5.421099502702479,0.23% Cu(HO3PC6H5)2
7,5.442627112805158,0.23% Cu(HO3PC6H5)2
1,3.852802789640516,0.5% Cu(HO3PC6H5)2
6,3.803282236721893,0.5% Cu(HO3PC6H5)2
7,3.672739955125647,0.5% Cu(HO3PC6H5)2
1,8.10730333353248,0.26% Cu(HO3PC6H5)2
6,11.69334050091604,0.26% Cu(HO3PC6H5)2
7,19.227439383876018,0.26% Cu(HO3PC6H5)2
