Annealing Temperature (°C),Electronic Conductivity (S/m)
5.984905796056217,4.061533790864465,PAN
10.670373427083884,3.9037957581588962,PAN
11.014281404299629,3.8994816577814455,PAN
5.984905796056217,5.313018082454919,PBuA
10.670373427083884,5.217954381709593,PBuA
11.014281404299629,5.160382658294783,PBuA
5.984905796056217,-3.3751827573972064,PEO
10.670373427083884,-3.528079772270885,PEO
11.014281404299629,-3.5323597554372714,PEO
5.984905796056217,1.429157036430646,Fluoroelastomer
10.670373427083884,1.2340766278531377,Fluoroelastomer
11.014281404299629,1.2163839976215085,Fluoroelastomer
5.984905796056217,0.09835061735994088,PHEA
10.670373427083884,2.0480170241892095,PHEA
11.014281404299629,0.7725122438381589,PHEA
