Particle Density,Coefficient Of Thermal Expansion (1/K)
3,-2.2135043434893054,Synthetic fluorine mica/PEVA
9,-2.53474314103943,Synthetic fluorine mica/PEVA
14,-2.588398374992086,Synthetic fluorine mica/PEVA
19,-2.600201182788984,Synthetic fluorine mica/PEVA
9,-0.06932035293829131,Calcium carbonate/PEVA
10,1.3421458028839623,Calcium carbonate/PEVA
13,4.484294242964232,Calcium carbonate/PEVA
14,0.06203032758696647,Calcium carbonate/PEVA
1.0787471205201937,9.302465260395238,Silver/PEVA
13.886246493600003,10.644345893930875,Silver/PEVA
19.488346102169523,37.17693099734532,Silver/PEVA
19.987190583832845,36.773346313934056,Silver/PEVA
4,2.3532778919937485,carbon black/PEVA
11,13.133551293828557,carbon black/PEVA
13,50.37221086579362,carbon black/PEVA
14,119.7894864207487,carbon black/PEVA
2.186596139243575,3.412373364590545,Single-wall carbon nanotubes/PEVA
3.290992637999619,3.6563469778990965,Single-wall carbon nanotubes/PEVA
14.856667277532392,2.9964916224278424,Single-wall carbon nanotubes/PEVA
18.97614058736424,2.9218372887711235,Single-wall carbon nanotubes/PEVA
