Strain,Elongation At Break (%)
0.9327768852771534,-3.039329282101674,Poly(methyl acrylate)
7.077790184956649,-3.670922521075384,Poly(methyl acrylate)
7.926151611289121,-3.7653802652170745,Poly(methyl acrylate)
10.944551662959396,-3.8782831514275373,Poly(methyl acrylate)
12.265134429871708,-3.9172157715124545,Poly(methyl acrylate)
13.793423948693155,-3.947339118142419,Poly(methyl acrylate)
19.973204696404835,-4.075168864535352,Poly(methyl acrylate)
0.9327768852771534,-6.429283269725772,PVC-P
7.077790184956649,-6.944446870991425,PVC-P
7.926151611289121,-6.967588765132095,PVC-P
10.944551662959396,-7.024127203849983,PVC-P
12.265134429871708,-7.03584722920784,PVC-P
13.793423948693155,-7.0463316173380255,PVC-P
19.973204696404835,-7.06042777396598,PVC-P
0.9327768852771534,-1.304480163452686,Polyimide
7.077790184956649,-1.9536580310400173,Polyimide
7.926151611289121,-1.9763737065487288,Polyimide
10.944551662959396,-2.041461827892975,Polyimide
12.265134429871708,-2.0479302211819683,Polyimide
13.793423948693155,-2.0573550935784852,Polyimide
19.973204696404835,-2.0713171350649073,Polyimide
0.9327768852771534,8.066334285073625,PαMS
7.077790184956649,20.107716719900427,PαMS
7.926151611289121,9.301808712825183,PαMS
10.944551662959396,31.27252619456305,PαMS
12.265134429871708,51.29195667824976,PαMS
13.793423948693155,-12.943936518642987,PαMS
19.973204696404835,324.998064468008,PαMS
0.9327768852771534,1.2653255203801503,Nylon 6(3)T
7.077790184956649,6.468221953286919,Nylon 6(3)T
7.926151611289121,12.90345621674252,Nylon 6(3)T
10.944551662959396,31.91961554447008,Nylon 6(3)T
12.265134429871708,-2.441993141105332,Nylon 6(3)T
13.793423948693155,31.87635825879043,Nylon 6(3)T
19.973204696404835,1054.4376913178905,Nylon 6(3)T
