Shear Rate (1/s),Modulus Of Elasticity (GPa)
0,5.697724179987734,PC
1,5.150802335637585,PC
19,4.729618991895982,PC
4.2057498325867275,2.5629082556610108,PMMA-PnBA
16.991528890391578,328.4812464772642,PMMA-PnBA
18.704882111681545,-185.53939242970063,PMMA-PnBA
4,4.976879230184839,Nylon 6-6
14,4.729555189220312,Nylon 6-6
15,4.687470313719937,Nylon 6-6
7,4.066889215414492,Unsaturated polyester resin
15,3.9210678390793876,Unsaturated polyester resin
18,3.914324433611244,Unsaturated polyester resin
