Thermal Conductivity (W/(m·K)),Electrochemical Potential (V)
2.4344398028357372,-5.514350072556105,BR
4.540062184750506,-5.7727277386916604,BR
5.83703155398678,-5.7356701883565355,BR
10.782163956013694,-5.892282716730222,BR
12,-4.290180744330767,Cellulose acetate butyrate
13,-4.297144109117538,Cellulose acetate butyrate
16,-4.3090044717792795,Cellulose acetate butyrate
18,-4.312982139745366,Cellulose acetate butyrate
4,3.0394909122510665,BECy
9,5.166022114625059,BECy
12,5.528035240487102,BECy
16,9.07521064433364,BECy
