pH,Complex Modulus (Pa)
3.197746654515081,5.559304912673973,0.57% Sepiolite
7.532390252133608,5.382732732417897,0.57% Sepiolite
16.91188880093327,5.0940666809347395,0.57% Sepiolite
0,5.053128045250296,0.05% Sepiolite
8,14.147511691348077,0.05% Sepiolite
11,24.917399664454774,0.05% Sepiolite
3,-2.5561544764577673,0.48% Sepiolite
6,-1.917453873828638,0.48% Sepiolite
12,3.4813749996373486,0.48% Sepiolite
9,-5.740384581065124,0.95% Sepiolite
16,-5.791739375727982,0.95% Sepiolite
19,-5.795723879626656,0.95% Sepiolite
