Mechanical Strength (MPa),Peel Strength (N/m)
9.219258849668154,3.17735277110582,0.79% Magnesium oxide
14.54645506017798,3.0375795246219104,0.79% Magnesium oxide
18.252110336869322,2.9549564695935495,0.79% Magnesium oxide
9.219258849668154,8.536849276758332,0.05% Magnesium oxide
14.54645506017798,8.083923583734775,0.05% Magnesium oxide
18.252110336869322,15.592099163509719,0.05% Magnesium oxide
9.219258849668154,2.7068414757490213,0.45% Magnesium oxide
14.54645506017798,-4.238065110945406,0.45% Magnesium oxide
18.252110336869322,388.78376983348727,0.45% Magnesium oxide
9.219258849668154,-3.6955018819043985,0.31% Magnesium oxide
14.54645506017798,1.719698638173286,0.31% Magnesium oxide
18.252110336869322,-1.3452499102076452,0.31% Magnesium oxide
9.219258849668154,16.88357126659784,0.6% Magnesium oxide
14.54645506017798,99.58583462889982,0.6% Magnesium oxide
18.252110336869322,-69.39102864616478,0.6% Magnesium oxide
