Particle Size (nm),Loss Modulus (Pa)
0,2.5170333288457774,PP
3,2.6255225807418565,PP
7,2.236010103651868,PP
10,2.119346106144572,PP
12,2.0144380306535368,PP
19,1.8566288724128173,PP
0,5.556617133563134,Nylon 6T
3,5.3046805864223225,Nylon 6T
7,5.218248648851913,Nylon 6T
10,5.027614969720621,Nylon 6T
12,4.90311520556984,Nylon 6T
19,4.782106501265333,Nylon 6T
0,-0.015032117199529127,PVOH
3,-0.5832342003366048,PVOH
7,-0.8757837415810531,PVOH
10,-0.9222622778356316,PVOH
12,-0.9533941830610961,PVOH
19,-0.9738212122091617,PVOH
0,5.127770529056191,PMMA
3,5.148786430866511,PMMA
7,4.88773707326054,PMMA
10,4.781019850987189,PMMA
12,4.642715791380785,PMMA
19,4.524823696614054,PMMA
