Mixing Time (min),Permittivity
3,7.0742360115163265,
6,9.112429410903351,
8,16.063712177592357,
9,9.559847065878634,
10,14.784000431861372,
13,41.616812130002224,
3,9.40554340621,
6,13.833358556911431,
8,8.979208351945132,
9,17.067819920191155,
10,26.695332647450723,
13,14.273039980902066,
3,1.1312604982257226,
6,0.7452337923302328,
8,3.216213961339284,
9,2.4811808470188264,
10,1.5124258279963008,
13,5.262382976381364,
3,-1.6947111313251422,
6,-0.4168853107826118,
8,-1.2166349711573328,
9,-1.4883840882687238,
10,-1.0189817056750936,
13,-0.6919004714720449,
