Particle Diameter (nm),Passivation Current Density (A/m²)
1.228966155556468,8.645791800369986,0.87% Bentonite/PVP
1.470557811465707,8.618762621185445,0.87% Bentonite/PVP
5.889020140131638,8.37337700607774,0.87% Bentonite/PVP
8.36787343601266,8.261112746096106,0.87% Bentonite/PVP
8.584953836078874,8.25822400718013,0.87% Bentonite/PVP
12.897490813202426,41.72908339095061,0.13% Bentonite/PVP
13.669512614665258,-4.1048493691495995,0.13% Bentonite/PVP
14.151461674125184,95.80406336718477,0.13% Bentonite/PVP
15.575065365376279,158.3708977581766,0.13% Bentonite/PVP
18.091366578669355,407.4169364019806,0.13% Bentonite/PVP
