Decomposition Temperature (°C),Electrochemical Potential (V)
4.7818975548071,-5.2576070515612034,0.34% silica nanoparticles
6.749261042666477,-5.468537006551021,0.34% silica nanoparticles
19.33065048906456,-5.841789146928462,0.34% silica nanoparticles
4.7818975548071,2.8929841705954313,0.72% silica nanoparticles
6.749261042666477,4.072833789012767,0.72% silica nanoparticles
19.33065048906456,-1.4800288251917681,0.72% silica nanoparticles
4.7818975548071,-2.791578090516497,0.36% silica nanoparticles
6.749261042666477,-3.8833936382226235,0.36% silica nanoparticles
19.33065048906456,3.3334924437044418,0.36% silica nanoparticles
4.7818975548071,-6.810725026342895,0.03% silica nanoparticles
6.749261042666477,-6.902201214465399,0.03% silica nanoparticles
19.33065048906456,-7.238406624122823,0.03% silica nanoparticles
4.7818975548071,6.246643449892512,0.43% silica nanoparticles
6.749261042666477,6.043837609254999,0.43% silica nanoparticles
19.33065048906456,5.687069066634414,0.43% silica nanoparticles
