Stress (Pa),Impact Strength (kJ/m²)
0,4.724481294427519,0.21% PbS/ABS
4,4.529314686700845,0.21% PbS/ABS
13,4.173525245086892,0.21% PbS/ABS
14,4.169225803657473,0.21% PbS/ABS
3.6626216442484516,4.744466420767176,0.39% PbS/ABS
10.422996741576219,4.407638379460298,0.39% PbS/ABS
18.84498228977438,4.367675815368829,0.39% PbS/ABS
19.48498958406777,4.367093590793309,0.39% PbS/ABS
0.0006436429996448112,5.592228702254798,0.13% PbS/ABS
8.602058770479964,13.456735568419951,0.13% PbS/ABS
11.374263647460797,43.02903541474315,0.13% PbS/ABS
15.006289697441748,23.822639390826357,0.13% PbS/ABS
3,7.959639571756444,0.3% PbS/ABS
13,4.5421313916526564,0.3% PbS/ABS
17,8.45667683144678,0.3% PbS/ABS
18,-2.284702229235995,0.3% PbS/ABS
