Polymer Molecular Weight (g/mol),Tan Delta
0.5342384954902069,-3.7380411757467895,multi-wall carbon nanotubes/Nylon 6
2.191941636939385,-3.8466043199523647,multi-wall carbon nanotubes/Nylon 6
5.647636547928945,-4.1961512056318595,multi-wall carbon nanotubes/Nylon 6
6.807138625026101,-4.237633566051457,multi-wall carbon nanotubes/Nylon 6
13.45315294043605,-4.492939125098394,multi-wall carbon nanotubes/Nylon 6
0.5342384954902069,5.475230484874375,TiO2/Nylon 6
2.191941636939385,6.154036660989542,TiO2/Nylon 6
5.647636547928945,11.778238031094798,TiO2/Nylon 6
6.807138625026101,5.871796588685705,TiO2/Nylon 6
13.45315294043605,39.913080054014316,TiO2/Nylon 6
0.5342384954902069,-6.38261206335365,Barium strontium titanate/Nylon 6
2.191941636939385,-5.401877683030927,Barium strontium titanate/Nylon 6
5.647636547928945,-7.1948554788492896,Barium strontium titanate/Nylon 6
6.807138625026101,-4.900514710714047,Barium strontium titanate/Nylon 6
13.45315294043605,-2.9645378607866704,Barium strontium titanate/Nylon 6
0.5342384954902069,4.852999674126498,Sepiolite/Nylon 6
2.191941636939385,5.17787880576288,Sepiolite/Nylon 6
5.647636547928945,11.267074202764576,Sepiolite/Nylon 6
6.807138625026101,9.72924573280881,Sepiolite/Nylon 6
13.45315294043605,58.42104033525743,Sepiolite/Nylon 6
