UV Exposure Time (h),Fatigue Strength (MPa)
2.2809589366616545,-4.650416758532235,0.2% Fluorine mica/Polychlorotrifluoroethylene
10.987329750240015,-3.173151067204286,0.2% Fluorine mica/Polychlorotrifluoroethylene
14.867850105726472,-0.3677794367193208,0.2% Fluorine mica/Polychlorotrifluoroethylene
2.2809589366616545,-3.1923891372517352,0.37% Fluorine mica/Polychlorotrifluoroethylene
10.987329750240015,-3.7538298659895446,0.37% Fluorine mica/Polychlorotrifluoroethylene
14.867850105726472,-3.8816836038661893,0.37% Fluorine mica/Polychlorotrifluoroethylene
2.2809589366616545,-4.615924519985864,0.02% Fluorine mica/Polychlorotrifluoroethylene
10.987329750240015,-5.112797392266127,0.02% Fluorine mica/Polychlorotrifluoroethylene
14.867850105726472,-5.137463738884532,0.02% Fluorine mica/Polychlorotrifluoroethylene
2.2809589366616545,6.657791018881643,0.47% Fluorine mica/Polychlorotrifluoroethylene
10.987329750240015,6.169511799449699,0.47% Fluorine mica/Polychlorotrifluoroethylene
14.867850105726472,5.989866105400181,0.47% Fluorine mica/Polychlorotrifluoroethylene
2.2809589366616545,8.98810344978697,0.26% Fluorine mica/Polychlorotrifluoroethylene
10.987329750240015,12.255880501711765,0.26% Fluorine mica/Polychlorotrifluoroethylene
14.867850105726472,6.175887496240451,0.26% Fluorine mica/Polychlorotrifluoroethylene
