Electron Beam Dose (Gy),Heat Of Crystallization (J/g)
0,-2.4328781269279975,
2,-2.5363486726450932,
3,-2.622096319211198,
10,-2.9574182766273682,
13,-3.0499603507669866,
5,7.669042028904482,
6,12.162117238561022,
13,81.8307802804889,
14,74.4893350519285,
19,525.5518197983254,
3.841904136197569,-5.239604862136311,
9.00372272628089,-3.9973029787487704,
13.788634959720314,0.45490954144000284,
16.38065806600882,-4.580188634564028,
17.59462786122986,9.81617265498492,
5.613878403552031,9.299794068152643,
8.864169235363931,11.200444704907737,
9.542211850839115,11.315475656272756,
9.715245726283442,9.509753769968665,
17.565952117235398,17.673523920410354,
1,-1.0181661328228195,
2,-1.1894821477780395,
11,-1.5041837066808323,
14,-1.575672091195114,
16,-1.6157822677453844,
