Crystallization Temperature (°C),Thermal Expansion (1/K)
1,8.216473539453093,0.72% MoS2/PCTFE
6,8.098135733092736,0.72% MoS2/PCTFE
8,7.8936167523686,0.72% MoS2/PCTFE
1,5.41405085610151,0.98% MoS2/PCTFE
6,5.201981921405653,0.98% MoS2/PCTFE
8,4.738357465666311,0.98% MoS2/PCTFE
1,2.135466641401953,0.9% MoS2/PCTFE
6,1.6218037013929822,0.9% MoS2/PCTFE
8,1.5011270177828369,0.9% MoS2/PCTFE
1,4.086123536807839,0.36% MoS2/PCTFE
6,3.861350269495423,0.36% MoS2/PCTFE
8,3.6563192766160273,0.36% MoS2/PCTFE
1,-1.7003697294502385,0.19% MoS2/PCTFE
6,-0.5650581121084564,0.19% MoS2/PCTFE
8,-0.11826833037349349,0.19% MoS2/PCTFE
