Specific Surface Area (m²/g),Fracture Toughness (MPa·m^0.5)
6.316147480381689,-4.5723940437673996,0.54% Fullerene/Polybenzimidazole
10.385241537112764,-2.9740717009876754,0.54% Fullerene/Polybenzimidazole
12.897977846456818,-1.0848633316485596,0.54% Fullerene/Polybenzimidazole
14.672294603832993,-3.6947124779138667,0.54% Fullerene/Polybenzimidazole
17.539311110361172,5.530647326052462,0.54% Fullerene/Polybenzimidazole
18.360776562026537,-13.264929230560242,0.54% Fullerene/Polybenzimidazole
6.316147480381689,2.0695760270875754,0.63% Fullerene/Polybenzimidazole
10.385241537112764,1.8621457083832773,0.63% Fullerene/Polybenzimidazole
12.897977846456818,1.7862907905352183,0.63% Fullerene/Polybenzimidazole
14.672294603832993,1.7709857752620486,0.63% Fullerene/Polybenzimidazole
17.539311110361172,1.6672779928926653,0.63% Fullerene/Polybenzimidazole
18.360776562026537,1.6498821254223852,0.63% Fullerene/Polybenzimidazole
6.316147480381689,-6.767591996887355,0.03% Fullerene/Polybenzimidazole
10.385241537112764,-7.009384839430081,0.03% Fullerene/Polybenzimidazole
12.897977846456818,-7.121370016769383,0.03% Fullerene/Polybenzimidazole
14.672294603832993,-7.1501690010653025,0.03% Fullerene/Polybenzimidazole
17.539311110361172,-7.217892227929401,0.03% Fullerene/Polybenzimidazole
18.360776562026537,-7.245769963446488,0.03% Fullerene/Polybenzimidazole
6.316147480381689,-5.191315215212801,0.79% Fullerene/Polybenzimidazole
10.385241537112764,-5.29833693102141,0.79% Fullerene/Polybenzimidazole
12.897977846456818,-5.319960002573429,0.79% Fullerene/Polybenzimidazole
14.672294603832993,-5.328669362809961,0.79% Fullerene/Polybenzimidazole
17.539311110361172,-5.335368562003441,0.79% Fullerene/Polybenzimidazole
18.360776562026537,-5.336420798086765,0.79% Fullerene/Polybenzimidazole
