Softening Temperature (°C),Tensile Modulus (GPa)
0.2705983371873799,-5.793609529584977,PMA
7.4571788108020005,-5.997833025741394,PMA
11.124626300653194,-6.1968953182897035,PMA
0.2705983371873799,-4.1215264755893966,PBAT
7.4571788108020005,3.3346134871997553,PBAT
11.124626300653194,48.666475375990004,PBAT
0.2705983371873799,2.118964273765227,BECy
7.4571788108020005,3.979844590786123,BECy
11.124626300653194,9.128419724970907,BECy
0.2705983371873799,4.543504273129928,PBAT
7.4571788108020005,4.061079809268472,PBAT
11.124626300653194,3.9236155384490403,PBAT
0.2705983371873799,6.998629120051474,Nylon 12
7.4571788108020005,6.468849421817849,Nylon 12
11.124626300653194,6.270850190840237,Nylon 12
