Stirring Speed (rpm),Loss Modulus (Pa)
2,2.513142659679221,0.53% single-walled CNT
3,4.467821669230538,0.53% single-walled CNT
4,3.1385784424266547,0.53% single-walled CNT
5,2.5067300733568647,0.53% single-walled CNT
12,26.074255358543724,0.53% single-walled CNT
2,1.3287976038398654,0.65% single-walled CNT
3,1.184200528875624,0.65% single-walled CNT
4,1.2061212619843305,0.65% single-walled CNT
5,1.0845185490912916,0.65% single-walled CNT
12,0.8777735924536403,0.65% single-walled CNT
2,-4.743460931673462,0.71% single-walled CNT
3,-4.846058146061662,0.71% single-walled CNT
4,-4.9501773125163675,0.71% single-walled CNT
5,-5.05347298046689,0.71% single-walled CNT
12,-5.2422226798665905,0.71% single-walled CNT
2,-5.960732555609191,0.81% single-walled CNT
3,-5.924118074355343,0.81% single-walled CNT
4,-6.118457636497261,0.81% single-walled CNT
5,-6.210280237231936,0.81% single-walled CNT
12,-6.409531529432315,0.81% single-walled CNT
