Temperature (°C),Modulus Of Elasticity (GPa)
4,-5.271223144612755,0.13% SWNTs/DGEBA Epoxy Resin
9,3.8047149721091174,0.13% SWNTs/DGEBA Epoxy Resin
10,10.137907863866182,0.13% SWNTs/DGEBA Epoxy Resin
13,-20.425849481988223,0.13% SWNTs/DGEBA Epoxy Resin
16,24.092831868799557,0.13% SWNTs/DGEBA Epoxy Resin
4,2.52037856028439,1.0% SWNTs/DGEBA Epoxy Resin
9,2.362061513894308,1.0% SWNTs/DGEBA Epoxy Resin
10,2.2971745982616114,1.0% SWNTs/DGEBA Epoxy Resin
13,2.2359445471748867,1.0% SWNTs/DGEBA Epoxy Resin
16,2.136254101214666,1.0% SWNTs/DGEBA Epoxy Resin
4,5.654221691609326,0.93% SWNTs/DGEBA Epoxy Resin
9,15.668496900148963,0.93% SWNTs/DGEBA Epoxy Resin
10,18.836714551775803,0.93% SWNTs/DGEBA Epoxy Resin
13,25.15771112873053,0.93% SWNTs/DGEBA Epoxy Resin
16,176.26973391103363,0.93% SWNTs/DGEBA Epoxy Resin
4,3.504417590702619,0.38% SWNTs/DGEBA Epoxy Resin
9,3.289241220268152,0.38% SWNTs/DGEBA Epoxy Resin
10,3.2692463403773973,0.38% SWNTs/DGEBA Epoxy Resin
13,3.2406052670897494,0.38% SWNTs/DGEBA Epoxy Resin
16,3.2282639586961626,0.38% SWNTs/DGEBA Epoxy Resin
