Thermal Conductivity (W/(m·K)),Pore Size (nm)
0,3.4254320521793096,0.35% octyldimethylmethoxysilane
13,2.3265153608694584,0.35% octyldimethylmethoxysilane
16,2.3155419977460885,0.35% octyldimethylmethoxysilane
19,2.3107526991926024,0.35% octyldimethylmethoxysilane
0,-0.5464838246636792,0.15% octyldimethylmethoxysilane
13,0.47061521444804777,0.15% octyldimethylmethoxysilane
16,-0.9178825221835285,0.15% octyldimethylmethoxysilane
19,10.265299106352986,0.15% octyldimethylmethoxysilane
0,-6.4007584154179895,0.59% octyldimethylmethoxysilane
13,-3.4519574707846723,0.59% octyldimethylmethoxysilane
16,-10.30590632713921,0.59% octyldimethylmethoxysilane
19,-6.160227997443521,0.59% octyldimethylmethoxysilane
0,8.554712648233934,0.1% octyldimethylmethoxysilane
13,90.04501080858634,0.1% octyldimethylmethoxysilane
16,-86.77893052252129,0.1% octyldimethylmethoxysilane
19,536.1880160343293,0.1% octyldimethylmethoxysilane
