Aging Temperature (°C),Magnetoresistance
5,6.096150643975011,0.02% Furnace black
6,6.081712631341273,0.02% Furnace black
10,5.940289213648581,0.02% Furnace black
12,5.918611234253911,0.02% Furnace black
19,5.893996407924733,0.02% Furnace black
5,-1.3871181524406997,0.62% Furnace black
6,-1.423835898839787,0.62% Furnace black
10,-1.6966790823220896,0.62% Furnace black
12,-1.7416498065475616,0.62% Furnace black
19,-1.8935350711422618,0.62% Furnace black
5,3.6064071023542157,0.48% Furnace black
6,2.28127273769418,0.48% Furnace black
10,26.498004983027048,0.48% Furnace black
12,2.7385504077859153,0.48% Furnace black
19,128.95750103660933,0.48% Furnace black
5,0.6496099597206786,0.73% Furnace black
6,0.5846039171750874,0.73% Furnace black
10,0.49014258950595563,0.73% Furnace black
12,0.42218069307557426,0.73% Furnace black
19,0.2666787992917158,0.73% Furnace black
5,-0.5892197493800735,0.96% Furnace black
6,-1.756881582539517,0.96% Furnace black
10,41.902881455255816,0.96% Furnace black
12,86.38544214410462,0.96% Furnace black
19,409.7164027343596,0.96% Furnace black
