Surfactant Concentration (M),Electrochemical Potential (V)
2,5.027007905320611,0.82% high abrasion furnace black
5,4.752650050873609,0.82% high abrasion furnace black
7,4.635991900098173,0.82% high abrasion furnace black
16,4.540382065802113,0.82% high abrasion furnace black
17,4.538832511649847,0.82% high abrasion furnace black
2,8.316393213978582,0.54% high abrasion furnace black
5,8.677884948212725,0.54% high abrasion furnace black
7,9.16624099881985,0.54% high abrasion furnace black
16,7.454909272703602,0.54% high abrasion furnace black
17,2.138247012891636,0.54% high abrasion furnace black
