Aspect Ratio,Magnetic Susceptibility
1,2.310662659199541,0.32% Fe3O4
6,1.5622878155960986,0.32% Fe3O4
7,1.527958166981502,0.32% Fe3O4
8,1.4826483105971384,0.32% Fe3O4
11,1.4263072008829356,0.32% Fe3O4
18,1.393392650098016,0.32% Fe3O4
1,4.254351088977885,0.32% Fe3O4
6,4.031238929642267,0.32% Fe3O4
7,4.014043932188673,0.32% Fe3O4
8,3.937843841594527,0.32% Fe3O4
11,3.7901838646775916,0.32% Fe3O4
18,3.631718656630526,0.32% Fe3O4
1,-5.547538281684357,0.01% Fe3O4
6,-6.11923084103605,0.01% Fe3O4
7,-6.197001533210842,0.01% Fe3O4
8,-6.27703180705783,0.01% Fe3O4
11,-6.351732254339235,0.01% Fe3O4
18,-6.543185023721357,0.01% Fe3O4
1,-1.059246215234682,0.86% Fe3O4
6,-0.30379747188357253,0.86% Fe3O4
7,-1.8549523019567566,0.86% Fe3O4
8,-0.0046297576495542,0.86% Fe3O4
11,-1.0186505408200937,0.86% Fe3O4
18,-4.750684601514576,0.86% Fe3O4
1,5.212950586174157,0.71% Fe3O4
6,14.67905718021035,0.71% Fe3O4
7,13.694846987968665,0.71% Fe3O4
8,16.361057622576098,0.71% Fe3O4
11,-6.508541085983982,0.71% Fe3O4
18,381.2384353227988,0.71% Fe3O4
