Curing Time (min),Fracture Toughness (MPa·m^0.5)
3.0969788550195365,-0.5950528414721686,Poly(benzoxazine)
5.375239967404832,-0.5484008398310507,Poly(benzoxazine)
14.768150123973543,-0.9883717184876546,Poly(benzoxazine)
3.0969788550195365,2.770563814564883,PLA
5.375239967404832,2.5720443734787235,PLA
14.768150123973543,2.1884014505777247,PLA
3.0969788550195365,-5.215701986422809,Poly-trifluoroethylene
5.375239967404832,-5.365131643126756,Poly-trifluoroethylene
14.768150123973543,-5.565500188289943,Poly-trifluoroethylene
3.0969788550195365,-0.2735108697304769,Poly(vinyl butyral)
5.375239967404832,-0.3743691215571856,Poly(vinyl butyral)
14.768150123973543,-0.7581617333229492,Poly(vinyl butyral)
3.0969788550195365,-6.161538900534708,Polychlorotrifluoroethylene
5.375239967404832,-6.371745861722777,Polychlorotrifluoroethylene
14.768150123973543,-6.750677002212917,Polychlorotrifluoroethylene
