Pore Volume (cm³/g),Shear Viscosity (Pa·s)
2.5633489889383054,8.187828747844257,Talcum/PET
7.330742698633017,12.25661067088862,Talcum/PET
16.27292435364491,305.9617287051572,Talcum/PET
17.826951983446776,250.95282782668806,Talcum/PET
2.5633489889383054,7.267856661988441,Organophilic clay/PET
7.330742698633017,7.102081423612203,Organophilic clay/PET
16.27292435364491,6.991299253544906,Organophilic clay/PET
17.826951983446776,6.98839900112328,Organophilic clay/PET
2.5633489889383054,6.146838571278564,Paraffinum liquidum/PET
7.330742698633017,5.785573737042376,Paraffinum liquidum/PET
16.27292435364491,5.5038488464955675,Paraffinum liquidum/PET
17.826951983446776,5.4867408538144975,Paraffinum liquidum/PET
