Incubation Time (h),Compression Strength (MPa)
3.7259605954512476,0.6747530762154468,S-SBR
8.148205446568475,3.460398008139905,S-SBR
9.329777697173569,2.6684150846819383,S-SBR
3.7259605954512476,1.023857277938045,EPDM
8.148205446568475,0.8469419659081051,EPDM
9.329777697173569,0.8812168093132882,EPDM
3.7259605954512476,-5.798160105524384,PTFE
8.148205446568475,-6.0814618879848075,PTFE
9.329777697173569,-6.113196126966412,PTFE
3.7259605954512476,-6.567112931905455,Poly(bisphenol A carbonate)
8.148205446568475,-6.804150802919773,Poly(bisphenol A carbonate)
9.329777697173569,-6.819317673054783,Poly(bisphenol A carbonate)
