Curing Time (min),Crystallinity (%)
0,7.81240094274577,0.57% Buckminsterfullerene
10,27.08076913192048,0.57% Buckminsterfullerene
11,33.39449467825181,0.57% Buckminsterfullerene
15,202.55732133119042,0.57% Buckminsterfullerene
0,0.9113610923147315,0.6% Buckminsterfullerene
10,0.1315493535024842,0.6% Buckminsterfullerene
11,0.11322097675452208,0.6% Buckminsterfullerene
15,0.09191903930513523,0.6% Buckminsterfullerene
0,0.9596770845647167,0.83% Buckminsterfullerene
10,5.685504929629287,0.83% Buckminsterfullerene
11,13.791253291912618,0.83% Buckminsterfullerene
15,354.86485343428404,0.83% Buckminsterfullerene
