Reaction Temperature (°C),Tensile Modulus (GPa)
1,1.0315958444025568,0.16% Silver nitrate
3,3.2861583365751077,0.16% Silver nitrate
12,37.19593206368569,0.16% Silver nitrate
1,-2.212548728873079,0.26% Silver nitrate
3,-2.6058766643343416,0.26% Silver nitrate
12,-2.9978993404085696,0.26% Silver nitrate
1,3.7682697413236843,0.55% Silver nitrate
3,3.8734539579210425,0.55% Silver nitrate
12,3.4718510389363955,0.55% Silver nitrate
1,-0.09733717286559163,0.45% Silver nitrate
3,0.6995033590078095,0.45% Silver nitrate
12,3.6515244449684348,0.45% Silver nitrate
