Drying Temperature (°C),Tensile Modulus (GPa)
5.4261178740865805,4.068423213939472,TPU
9.875828378655694,3.7833259982005143,TPU
12.317729670314472,3.7469745920987494,TPU
16.35582379043467,3.624560594891201,TPU
19.742823094573488,3.5663887037220627,TPU
5.4261178740865805,7.040884696996825,PP
9.875828378655694,6.901189770015822,PP
12.317729670314472,6.878509381309272,PP
16.35582379043467,6.861688369097405,PP
19.742823094573488,6.85726349304503,PP
5.4261178740865805,4.312598517433858,Epoxy novolac viny ester resin
9.875828378655694,4.213553313850222,Epoxy novolac viny ester resin
12.317729670314472,4.1864592976173975,Epoxy novolac viny ester resin
16.35582379043467,4.169510451699383,Epoxy novolac viny ester resin
19.742823094573488,4.164980629322491,Epoxy novolac viny ester resin
5.4261178740865805,-6.886945598146555,S-EB-S
9.875828378655694,-7.210326525812454,S-EB-S
12.317729670314472,-7.3036397640192785,S-EB-S
16.35582379043467,-7.372679053455321,S-EB-S
19.742823094573488,-7.429795012278965,S-EB-S
