Thermal Conductivity (W/(m·K)),Oxidation Potential (V)
1,4.746082974010594,
6,6.000179463601391,
9,6.367563589547843,
14,2.7998677038220974,
17,8.47362795707284,
1,7.18976258375939,
6,13.180395821050618,
9,21.98265182749865,
14,99.99943395778142,
17,31.402819174207515,
1,4.538051602967025,
6,4.239366058800371,
9,4.077139335527779,
14,3.953160061345035,
17,3.8918191424511,
1,2.342219661385676,
6,4.469182980782423,
9,5.55268010082774,
14,6.345905466476845,
17,10.943403250307936,
1,-2.64204753925147,
6,-3.066478524008013,
9,-3.243876078148707,
14,-3.4222867480602095,
17,-3.4552076559229024,
