Curing Temperature (°C),Crystallinity (%)
2.1553977383519696,7.976290475292706,Poly(methyl acrylate)
7.601852674783977,8.75423612966189,Poly(methyl acrylate)
8.449457921393261,9.723021671766155,Poly(methyl acrylate)
8.790445799403209,9.274511717580213,Poly(methyl acrylate)
10.308713503316554,9.481721857329038,Poly(methyl acrylate)
12.78047960702088,8.111146698809911,Poly(methyl acrylate)
17.14746284398156,18.010646864131353,Poly(methyl acrylate)
2.1553977383519696,8.357575530440359,FKM
7.601852674783977,7.8876477699179,FKM
8.449457921393261,7.862101093760646,FKM
8.790445799403209,7.860932687009559,FKM
10.308713503316554,7.834657152297187,FKM
12.78047960702088,7.809552989048873,FKM
17.14746284398156,7.794192175351608,FKM
2.1553977383519696,-6.375115752978966,Poly(vinyl butyral)
7.601852674783977,-6.469482812237886,Poly(vinyl butyral)
8.449457921393261,-5.830309529246142,Poly(vinyl butyral)
8.790445799403209,-4.399733478873299,Poly(vinyl butyral)
10.308713503316554,-5.203377445422642,Poly(vinyl butyral)
12.78047960702088,-3.3143029365233154,Poly(vinyl butyral)
17.14746284398156,7.978689709098058,Poly(vinyl butyral)
