Crystallinity (%),Reduction Potential (V)
7,10.204458588778095,multi-wall carbon nanotubes/PETP
11,30.821160373908498,multi-wall carbon nanotubes/PETP
16,-29.293150990518356,multi-wall carbon nanotubes/PETP
17,-105.95066796979617,multi-wall carbon nanotubes/PETP
18,510.448155508253,multi-wall carbon nanotubes/PETP
7,-7.420011888175442,Titanium Dioxide/PETP
11,-7.570017964459881,Titanium Dioxide/PETP
16,-7.671930719415528,Titanium Dioxide/PETP
17,-7.674227623999399,Titanium Dioxide/PETP
18,-7.684833813557767,Titanium Dioxide/PETP
7,8.08299692271748,MWCNT/PETP
11,7.93876635817294,MWCNT/PETP
16,7.799448430963665,MWCNT/PETP
17,7.773203964551543,MWCNT/PETP
18,7.772054726882015,MWCNT/PETP
