Nanoparticle Mass (%),Thermal Conductivity (W/(m·K))
0,3.623795573094302,GO/Thermoplastic polyurethane
6,2.88031627953658,GO/Thermoplastic polyurethane
7,2.834035053895053,GO/Thermoplastic polyurethane
0,-0.4047962332406869,Paraffinum liquidum/Thermoplastic polyurethane
6,-1.3410340860669576,Paraffinum liquidum/Thermoplastic polyurethane
7,-1.3830610126765412,Paraffinum liquidum/Thermoplastic polyurethane
0,-2.7612664785356436,Fluorine mica/Thermoplastic polyurethane
6,-1.338062310179848,Fluorine mica/Thermoplastic polyurethane
7,-2.1639316667797006,Fluorine mica/Thermoplastic polyurethane
0,-3.575515458804295,Triphenyl phosphate/Thermoplastic polyurethane
6,-4.181633779506851,Triphenyl phosphate/Thermoplastic polyurethane
7,-4.213555366932298,Triphenyl phosphate/Thermoplastic polyurethane
0,-7.251789332006654,graphite/Thermoplastic polyurethane
6,-7.816771996898876,graphite/Thermoplastic polyurethane
7,-7.853241788851762,graphite/Thermoplastic polyurethane
