Film Thickness (µm),Impact Strength (kJ/m²)
3.49384624130473,4.2970762056984455,0.19% titania/TPU
5.224419234858382,4.2322119451886,0.19% titania/TPU
5.762248269433292,4.212256312070837,0.19% titania/TPU
7.621532571049103,4.091822410551814,0.19% titania/TPU
9.246224508736908,4.0503076890561704,0.19% titania/TPU
3.49384624130473,-2.9325419111939754,0.2% titania/TPU
5.224419234858382,0.9987841859143156,0.2% titania/TPU
5.762248269433292,2.969608255861832,0.2% titania/TPU
7.621532571049103,1.2289986276780738,0.2% titania/TPU
9.246224508736908,12.201888785412821,0.2% titania/TPU
