Volume Fraction (%),Particle Size (nm)
2.6827406129560916,4.403197488429727,Fe2O3/SAN24
16.073200135090584,13.2086703007115,Fe2O3/SAN24
17.8614351206297,14.420405503487768,Fe2O3/SAN24
19.992311179092052,13.832041108991161,Fe2O3/SAN24
2.6827406129560916,3.377070800079921,ZnO/SAN24
16.073200135090584,7.243284285584201,ZnO/SAN24
17.8614351206297,0.16184072338639321,ZnO/SAN24
19.992311179092052,7.055929516503402,ZnO/SAN24
2.6827406129560916,7.532932659727481,Montmorillonite/SAN24
16.073200135090584,7.117135310202516,Montmorillonite/SAN24
17.8614351206297,7.114541335033552,Montmorillonite/SAN24
19.992311179092052,7.112319128725394,Montmorillonite/SAN24
