UV Exposure Time (h),Decomposition Temperature (°C)
0.8229963229128101,5.162679713519219,SAF/UPR
4.467461376698516,9.377367160658881,SAF/UPR
7.391986161425212,9.100123891967696,SAF/UPR
8.598562164665452,17.449230727078913,SAF/UPR
11.573916618248356,21.091675365875783,SAF/UPR
19.80392019205287,1245.6736122001225,SAF/UPR
0.8229963229128101,5.987452627609466,Talcum/UPR
4.467461376698516,5.916741352740717,Talcum/UPR
7.391986161425212,5.708088757430965,Talcum/UPR
8.598562164665452,5.673122942596453,Talcum/UPR
11.573916618248356,5.580968718723272,Talcum/UPR
19.80392019205287,5.398257042432853,Talcum/UPR
0.8229963229128101,8.116099530673093,TiO2/UPR
4.467461376698516,8.067429250337083,TiO2/UPR
7.391986161425212,9.469063078523638,TiO2/UPR
8.598562164665452,9.853670973588738,TiO2/UPR
11.573916618248356,9.992119785406505,TiO2/UPR
19.80392019205287,-0.9431693552909293,TiO2/UPR
0.8229963229128101,-0.755961595902789,Fluorine mica/UPR
4.467461376698516,-0.8119251144154489,Fluorine mica/UPR
7.391986161425212,-1.0533280866321257,Fluorine mica/UPR
8.598562164665452,-1.060115877965544,Fluorine mica/UPR
11.573916618248356,-1.1401649382951056,Fluorine mica/UPR
19.80392019205287,-1.3621173738212784,Fluorine mica/UPR
0.8229963229128101,4.443639764427354,Silicon carbide/UPR
4.467461376698516,4.235583843991672,Silicon carbide/UPR
7.391986161425212,5.26158475120719,Silicon carbide/UPR
8.598562164665452,6.895353650022506,Silicon carbide/UPR
11.573916618248356,5.248144445488542,Silicon carbide/UPR
19.80392019205287,15.20261211035017,Silicon carbide/UPR
