Time (s),Magnetic Permeability (H/m)
5.771541463345031,10.2574578337479,0.63% Au
5.966626772481622,8.313437427075433,0.63% Au
9.276987618806046,14.758764390529333,0.63% Au
10.607333479613585,25.4703870031323,0.63% Au
11.361795127854275,-3.164365159277846,0.63% Au
5.771541463345031,-1.9785975809334584,0.4% Au
5.966626772481622,-2.2009928084910246,0.4% Au
9.276987618806046,1.763856306291876,0.4% Au
10.607333479613585,30.1642480133058,0.4% Au
11.361795127854275,48.7208571439641,0.4% Au
5.771541463345031,4.400331837044157,0.84% Au
5.966626772481622,4.361573249473134,0.84% Au
9.276987618806046,4.138088110122358,0.84% Au
10.607333479613585,4.148821416083792,0.84% Au
11.361795127854275,4.089870152201954,0.84% Au
5.771541463345031,0.05855082321349381,0.07% Au
5.966626772481622,0.04978902307705374,0.07% Au
9.276987618806046,-0.0620684219489976,0.07% Au
10.607333479613585,-0.09100035249727434,0.07% Au
11.361795127854275,-0.0973584604735136,0.07% Au
5.771541463345031,9.42555576714782,0.1% Au
5.966626772481622,6.147210205860588,0.1% Au
9.276987618806046,15.566665080354516,0.1% Au
10.607333479613585,12.471861937246238,0.1% Au
11.361795127854275,27.5874040458565,0.1% Au
