Drying Temperature (°C),Glass Transition Temperature (°C)
3,5.140106542739936,0.15% Lamp black
4,5.113138129781586,0.15% Lamp black
9,4.863157064329876,0.15% Lamp black
10,4.85553278509266,0.15% Lamp black
14,4.817105437358637,0.15% Lamp black
19,4.806202613049154,0.15% Lamp black
3,-5.185441327322236,0.62% Lamp black
4,-5.162813655620521,0.62% Lamp black
9,-5.575862336370105,0.62% Lamp black
10,-5.595623445583316,0.62% Lamp black
14,-5.733082976616409,0.62% Lamp black
19,-5.829390197481979,0.62% Lamp black
