Heat Treatment Temperature (°C),Specific Viscosity
2.3558241984921535,2.7699791102015605,
2.4846400911596,2.3743650517396917,
6.019221501235716,2.2733065114198974,
9.304215006186492,2.0830400180410145,
10.163627049285257,2.0853746489036173,
10.31798859855998,2.0369681772900563,
2.3558241984921535,6.8488760402097695,
2.4846400911596,6.76930700101746,
6.019221501235716,6.5128702250414765,
9.304215006186492,6.284012781015994,
10.163627049285257,6.316128151926575,
10.31798859855998,6.286728702570516,
2.3558241984921535,7.339485412066573,
2.4846400911596,7.176328064207071,
6.019221501235716,8.517697940623842,
9.304215006186492,29.270321946184716,
10.163627049285257,24.04534121105712,
10.31798859855998,36.10052048722498,
2.3558241984921535,4.652477415728445,
2.4846400911596,4.734438572650271,
6.019221501235716,4.3005752759576,
9.304215006186492,4.224594032448382,
10.163627049285257,4.207679315283514,
10.31798859855998,4.210089839751876,
2.3558241984921535,1.1318003467607924,
2.4846400911596,1.0107812280242563,
6.019221501235716,0.8038887408740666,
9.304215006186492,0.6966721640397093,
10.163627049285257,0.688600553549456,
10.31798859855998,0.6882457620306099,
