Synthesis Time (min),Shear Strength (MPa)
1,-3.435844811742973,
6,-2.78630257231392,
8,6.48353251288902,
10,0.13633972883969037,
13,20.761555502019895,
2,0.7080319360877319,
3,1.2508370140280554,
6,1.4638909529960142,
15,4.34932240118376,
19,-1.248284902246355,
1,3.296700303429221,
6,5.1775088506975155,
10,2.4198712486926963,
13,8.205416113413284,
14,1.997942387394783,
1.4013425872918783,1.1181880991476436,
1.5397241202432554,0.8595344400808193,
7.077735932206486,0.5382243838602133,
18.20403376884115,0.19664540954576565,
18.406238079976557,0.18485670768744336,
