Strain,Loss Modulus (Pa)
4,-1.9810596077555214,PBAT
6,-2.0765080751317653,PBAT
11,-2.2486937032640957,PBAT
18,-2.2784547714498147,PBAT
4,0.4304417915534384,PMS
6,4.147093750927381,PMS
11,-9.471584587354863,PMS
18,227.52329601172423,PMS
4,1.9010388213858844,PB
6,1.7166966756975484,PB
11,1.5536083912653504,PB
18,1.3605373643970777,PB
4,2.277583318548994,EPDM
6,2.1283002809423355,EPDM
11,1.9122925291772337,EPDM
18,1.7349997292379449,EPDM
4,8.316852524276744,Nylon 6
6,11.217709535099848,Nylon 6
11,7.142136956864382,Nylon 6
18,143.08834378625596,Nylon 6
