Filler Content (%),Bet Surface Area
1,4.111006228321916,
3,3.598260277250043,
6,4.9933133876555,
7,6.105459731501479,
17,18.175162363490756,
19,7.788741156754142,
1,-6.58730140808553,
3,-6.913446729697699,
6,-7.123742100190958,
7,-7.236931074044072,
17,-7.538259984170583,
19,-7.5575738142618585,
1,-2.3005581398007875,
3,-2.1243561264135438,
6,-2.0290761626142633,
7,-1.9566333219714958,
17,7.55791750572962,
19,-3.4442655699985556,
1,-2.4825224545993505,
3,-1.9764154240380578,
6,0.9519670413145525,
7,2.4760064167532363,
17,140.2974836969667,
19,-402.511316322001,
1,8.10910202212691,
3,7.948803207431575,
6,7.624937670942691,
7,7.632383444253749,
17,7.321225141852496,
19,7.277069188732274,
