Shear Rate (1/s),Thermal Diffusivity (mm²/s)
8.783950816979324,-4.264497925869605,Morrocan montmorillonite/BR
11.14497522577786,-4.3270955771175625,Morrocan montmorillonite/BR
12.20184920100336,-4.364299342709395,Morrocan montmorillonite/BR
15.158827180594674,-4.435315634811856,Morrocan montmorillonite/BR
8.783950816979324,3.747785672235298,Dodecylbenzenesulfonic acid/BR
11.14497522577786,3.7150833062663478,Dodecylbenzenesulfonic acid/BR
12.20184920100336,3.708996279076376,Dodecylbenzenesulfonic acid/BR
15.158827180594674,3.692896593275979,Dodecylbenzenesulfonic acid/BR
8.783950816979324,3.2724277515851368,Titanate nanotubes/BR
11.14497522577786,-10.991771888115093,Titanate nanotubes/BR
12.20184920100336,-4.7835618569792295,Titanate nanotubes/BR
15.158827180594674,50.47685938090626,Titanate nanotubes/BR
8.783950816979324,-5.039354763678565,barium titanate/BR
11.14497522577786,-6.476274078912654,barium titanate/BR
12.20184920100336,-6.902474229803352,barium titanate/BR
15.158827180594674,-6.61810144555513,barium titanate/BR
8.783950816979324,5.165805467870365,Paraffin oil/BR
11.14497522577786,5.186992969965898,Paraffin oil/BR
12.20184920100336,4.670899023030975,Paraffin oil/BR
15.158827180594674,9.21442895406657,Paraffin oil/BR
