Synthesis Time (min),Decomposition Temperature (°C)
6.834708334026867,0.0012997146895711298,barium titanate/Fluoroelastomer
10.903992773925708,-0.08312034583143306,barium titanate/Fluoroelastomer
11.752440661309118,-0.09026588549384103,barium titanate/Fluoroelastomer
6.834708334026867,-6.575029612672671,TiO2/Fluoroelastomer
10.903992773925708,-6.725325716040852,TiO2/Fluoroelastomer
11.752440661309118,-6.783704254136283,TiO2/Fluoroelastomer
6.834708334026867,1.5721588822071941,Silver nitrate/Fluoroelastomer
10.903992773925708,1.4713019293566714,Silver nitrate/Fluoroelastomer
11.752440661309118,1.4176732565662724,Silver nitrate/Fluoroelastomer
6.834708334026867,-4.966514021625805,Carbon Black/Fluoroelastomer
10.903992773925708,-5.057661620318922,Carbon Black/Fluoroelastomer
11.752440661309118,-5.070924497881535,Carbon Black/Fluoroelastomer
